title,building1,building2,price,bedroom,bathroom,area
Low Floor Large 1 Bed I Cluster N,JLT Jumeirah Lake Towers,Lake Point,59999,1 Bedrooms,2 Bathrooms,980,https://dubai.dubizzle.com/property-for-rent/residential/apartmentflat/2018/10/10/low-floor-large-1-bed-i-cluster-n-2/
Chiller free/ High floor/ Balcony,JLT Jumeirah Lake Towers,Concorde,60000,1 Bedrooms,2 Bathrooms,730,https://dubai.dubizzle.com/property-for-rent/residential/apartmentflat/2018/9/25/spacious-1-br-apartment-on-high-floor-equi-2/
V3|1bed|Unfurnished|Meadows view|lower floor,JLT Jumeirah Lake Towers,V3 Tower,73000,1 Bedrooms,2 Bathrooms,807,https://dubai.dubizzle.com/property-for-rent/residential/apartmentflat/2018/10/15/v3-1bed-unfurnished-meadows-view-lower-flo-2/
Refurbished 1BR Duplex w/ refreshing lake view,JLT Jumeirah Lake Towers,Jumeirah Bay 1,75000,1 Bedrooms,2 Bathrooms,978,https://dubai.dubizzle.com/property-for-rent/residential/apartmentflat/2018/11/21/refurbished-1br-duplex-w-refreshing-lake-v-2/
Spacious 1 bedroom in JLT Lakepoint Tower,JLT Jumeirah Lake Towers,Lake Point,60000,1 Bedrooms,2 Bathrooms,980,https://dubai.dubizzle.com/property-for-rent/residential/apartmentflat/2018/11/25/spacious-1-bedroom-in-jlt-lakepoint-tower-2/
6 Chqs! 1 Bedroom w/ Balcony | Armada 1| JLT for Rent,JLT Jumeirah Lake Towers,Armada 1,60000,1 Bedrooms,2 Bathrooms,800,https://dubai.dubizzle.com/property-for-rent/residential/apartmentflat/2018/11/25/12-chqs-1-bedroom-w-balcony-armada-1-jlt-f-2/
Well-maintained 1 Bedroom available with Lake View in Lake City tower,JLT Jumeirah Lake Towers,Lake City,60000,1 Bedrooms,2 Bathrooms,665,https://dubai.dubizzle.com/property-for-rent/residential/apartmentflat/2018/11/24/well-maintained-1-bedroom-available-with-l-2/
1 bed Apt | Lake point Tower | JLT Dubai,JLT Jumeirah Lake Towers,Lake Point,60000,1 Bedrooms,2 Bathrooms,851,https://dubai.dubizzle.com/property-for-rent/residential/apartmentflat/2018/11/24/1-bed-apt-lake-point-tower-jlt-dubai-2/
Exclusive Listing - 1 Bedroom with Amazing lake view in JLT,JLT Jumeirah Lake Towers,Lake City,60000,1 Bedrooms,2 Bathrooms,665,https://dubai.dubizzle.com/property-for-rent/residential/apartmentflat/2018/11/24/exclusive-listing-1-bedroom-with-amazing-l-2/
"Clean  Spacious 1 Bedroom Apartment for rent  in Mag214, JLT",JLT Jumeirah Lake Towers,Mag 214,60000,1 Bedrooms,2 Bathrooms,850,https://dubai.dubizzle.com/property-for-rent/residential/apartmentflat/2018/11/22/clean-spacious-1-bedroom-apartment-for-ren-2-2/
"Clean  Spacious 1 Bedroom Apartment for rent  in Mag214, JLT",JLT Jumeirah Lake Towers,Mag 214,60000,1 Bedrooms,2 Bathrooms,850,https://dubai.dubizzle.com/property-for-rent/residential/apartmentflat/2018/11/22/clean-spacious-1-bedroom-apartment-for-ren-2/
Lake View! Furnished 1BR Apt in Icon Tower 1,JLT Jumeirah Lake Towers,Icon Tower 1,60000,1 Bedrooms,2 Bathrooms,747,https://dubai.dubizzle.com/property-for-rent/residential/apartmentflat/2018/11/21/lake-view-furnished-1br-apt-in-icon-tower--2/
Converted to 1 B R | Fully Furnished Apt,JLT Jumeirah Lake Towers,Dubai Gate 1,60000,1 Bedrooms,1 Bathrooms,455,https://dubai.dubizzle.com/property-for-rent/residential/apartmentflat/2018/11/21/converted-to-1-b-r-fully-furnished-apt-2/
One bedroom Apartment for rent next to metro,JLT Jumeirah Lake Towers,Lake City,60000,1 Bedrooms,2 Bathrooms,700,https://dubai.dubizzle.com/property-for-rent/residential/apartmentflat/2018/11/19/one-bedroom-apartment-for-rent-next-to-met-2/
One Bedroom | Fully Furnished | Low Floor,JLT Jumeirah Lake Towers,Lake Point,60000,1 Bedrooms,2 Bathrooms,900,https://dubai.dubizzle.com/property-for-rent/residential/apartmentflat/2018/11/19/one-bedroom-fully-furnished-low-floor-2/
"Nice Deal for 1BR in MAG 214,O528729686",JLT Jumeirah Lake Towers,Mag 214,60000,1 Bedrooms,2 Bathrooms,754,https://dubai.dubizzle.com/property-for-rent/residential/apartmentflat/2018/11/19/nice-deal-for-1br-in-mag-214-o528729686-2/
Newly Upgraded 1 bedroom flat close to Metro Station,JLT Jumeirah Lake Towers,Dubai Gate 1,60000,1 Bedrooms,1 Bathrooms,700,https://dubai.dubizzle.com/property-for-rent/residential/apartmentflat/2018/11/18/newly-upgraded-1-bedroom-flat-close-to-met-2/
"Fabulous 1 bedroom apartment in Icon 2 tower, JLT for rent AED 60,000",JLT Jumeirah Lake Towers,Icon Tower 2,60000,1 Bedrooms,2 Bathrooms,840,https://dubai.dubizzle.com/property-for-rent/residential/apartmentflat/2018/11/15/fabulous-1-bedroom-apartment-in-icon-2-tow-2/
Chiller Free Best Price  Full  Lake view,JLT Jumeirah Lake Towers,Concorde,60000,1 Bedrooms,2 Bathrooms,638,https://dubai.dubizzle.com/property-for-rent/residential/apartmentflat/2018/11/15/chiller-free-best-price-full-lake-view-2/
MAG 214 | One Bedroom | With Balcony ..,JLT Jumeirah Lake Towers,Mag 214,60000,1 Bedrooms,2 Bathrooms,760,https://dubai.dubizzle.com/property-for-rent/residential/apartmentflat/2018/11/13/mag-214-one-bedroom-with-balcony-2/
"Fully Furnished Large 1BR Apartment in Lake Point, JLT",JLT Jumeirah Lake Towers,Lake Point,60000,1 Bedrooms,1 Bathrooms,972,https://dubai.dubizzle.com/property-for-rent/residential/apartmentflat/2018/11/12/fully-furnished-large-1br-apartment-in-lak-2/
MAG214 - ONE BEDROOM - WITH BALCONY !!,JLT Jumeirah Lake Towers,Mag 214,60000,1 Bedrooms,2 Bathrooms,760,https://dubai.dubizzle.com/property-for-rent/residential/apartmentflat/2018/11/12/mag214-one-bedroom-with-balcony--2/
Luxury Furniture I Lake Point I 60K,JLT Jumeirah Lake Towers,Lake Point,60000,1 Bedrooms,1 Bathrooms,940,https://dubai.dubizzle.com/property-for-rent/residential/apartmentflat/2018/11/12/luxury-furniture-i-lake-point-i-65k-2/
Hurry up !! 1 bedroom with laundry room | Cluster R,JLT Jumeirah Lake Towers,,60000,1 Bedrooms,2 Bathrooms,740,https://dubai.dubizzle.com/property-for-rent/residential/apartmentflat/2018/11/10/hurry-up-1-bedroom-with-laundry-room-clust-2/
"A/C FREE :: 1 BHK :: 60,000 :: READY TO MOVE",JLT Jumeirah Lake Towers,Concorde,60000,1 Bedrooms,2 Bathrooms,850,https://dubai.dubizzle.com/property-for-rent/residential/apartmentflat/2018/11/10/ac-free-1-bhk-60-000-ready-to-move-2/
"60,000/- NICE 1 BEDROOM FULL LAKE VIEW",JLT Jumeirah Lake Towers,,60000,1 Bedrooms,2 Bathrooms,850,https://dubai.dubizzle.com/property-for-rent/residential/apartmentflat/2018/11/10/50-000-nice-1-bedroom-full-lake-view-2/
Spacious 1 BR  Apartment for Rent at JLT,JLT Jumeirah Lake Towers,Armada 1,60000,1 Bedrooms,2 Bathrooms,900,https://dubai.dubizzle.com/property-for-rent/residential/apartmentflat/2018/11/8/spacious-1-br-apartment-for-rent-at-jlt-2/
1100 SQFT !! 1 Bed For Rent @ 60 k,JLT Jumeirah Lake Towers,Dubai Arch,60000,1 Bedrooms,2 Bathrooms,1100,https://dubai.dubizzle.com/property-for-rent/residential/apartmentflat/2018/11/8/1100-sqft-1-bed-for-rent-60-k-2/
"Nice 1BR Furnished is located in Icon Tower 1, JLT",JLT Jumeirah Lake Towers,Icon Tower 1,60000,1 Bedrooms,1 Bathrooms,750,https://dubai.dubizzle.com/property-for-rent/residential/apartmentflat/2018/11/7/nice-1br-furnished-is-located-in-icon-towe-2/
"1 B/R APT AT ICON TOWER , COMMUNITY VIEW",JLT Jumeirah Lake Towers,Icon Tower 2,55000,1 Bedrooms,2 Bathrooms,750,https://dubai.dubizzle.com/property-for-rent/residential/apartmentflat/2018/10/31/1-br-apt-at-icon-tower-community-view-2/
Low Floor Large 1 Bed I Cluster N,JLT Jumeirah Lake Towers,Lake Point,59999,1 Bedrooms,2 Bathrooms,980,https://dubai.dubizzle.com/property-for-rent/residential/apartmentflat/2018/10/10/low-floor-large-1-bed-i-cluster-n-2/
Chiller free/ High floor/ Balcony,JLT Jumeirah Lake Towers,Concorde,60000,1 Bedrooms,2 Bathrooms,730,https://dubai.dubizzle.com/property-for-rent/residential/apartmentflat/2018/9/25/spacious-1-br-apartment-on-high-floor-equi-2/
V3|1bed|Unfurnished|Meadows view|lower floor,JLT Jumeirah Lake Towers,V3 Tower,73000,1 Bedrooms,2 Bathrooms,807,https://dubai.dubizzle.com/property-for-rent/residential/apartmentflat/2018/10/15/v3-1bed-unfurnished-meadows-view-lower-flo-2/
Biggest 1Bed Best Tower in JLT Al Sheraa,JLT Jumeirah Lake Towers,Al Shera,75000,1 Bedrooms,2 Bathrooms,1021,https://dubai.dubizzle.com/property-for-rent/residential/apartmentflat/2018/10/21/biggest-1bed-best-tower-in-al-sheraa-jlt-2/
Luxury Full Lake View Spacious 1 Bedroom,JLT Jumeirah Lake Towers,Lake City,60000,1 Bedrooms,2 Bathrooms,839,https://dubai.dubizzle.com/property-for-rent/residential/apartmentflat/2018/11/7/luxury-full-lake-view-spacious-1-bedroom-2/
Lake and Garden View | High floor | Vacant,JLT Jumeirah Lake Towers,Dubai Gate 1,60000,1 Bedrooms,2 Bathrooms,1159,https://dubai.dubizzle.com/property-for-rent/residential/apartmentflat/2018/11/7/lake-and-garden-view-high-floor-vacant-2/
"Nice Layout , Great View in Mag214, Near Metro",JLT Jumeirah Lake Towers,Mag 214,60000,1 Bedrooms,1 Bathrooms,800,https://dubai.dubizzle.com/property-for-rent/residential/apartmentflat/2018/11/6/nice-layout-great-view-in-mag214-near-metr-2/
Spacious 1 Bed in Al Waleed Paradise JLT,JLT Jumeirah Lake Towers,Al Waleed Paradise,60000,1 Bedrooms,2 Bathrooms,962,https://dubai.dubizzle.com/property-for-rent/residential/apartmentflat/2018/11/6/spacious-1-bed-in-al-waleed-paradise-jlt-2/
"Dubai Arch, 1 br, 1 1/2 bath, Equipped Kitchen, With Balcony",JLT Jumeirah Lake Towers,Dubai Arch,60000,1 Bedrooms,2 Bathrooms,900,https://dubai.dubizzle.com/property-for-rent/residential/apartmentflat/2018/11/6/lakepoint-1-br-1-12-bath-equipped-kitchen--2/
JUMEIRAH LAKE TOWERS !! DUBAI ARCH TOWER !! 1BR HALL !! RENT 60K ONLY,JLT Jumeirah Lake Towers,Dubai Arch,60000,1 Bedrooms,2 Bathrooms,1100,https://dubai.dubizzle.com/property-for-rent/residential/apartmentflat/2018/11/5/jumeirah-lake-towers-dubai-arch-tower-1br--2/
1BEDROOM | NEAREST JLT METRO | PARKING RESERVED,JLT Jumeirah Lake Towers,Lake City,60000,1 Bedrooms,1 Bathrooms,730,https://dubai.dubizzle.com/property-for-rent/residential/apartmentflat/2018/11/4/1bedroom-nearest-jlt-metro-parking-reserve-2/
NICE 1BEDROOM APARTMENT WITH BALCONY  PARKING OPP METRO,JLT Jumeirah Lake Towers,Al Waleed Paradise,60000,1 Bedrooms,2 Bathrooms,900,https://dubai.dubizzle.com/property-for-rent/residential/apartmentflat/2018/11/4/nice-1bedroom-apartment-with-balcony-parki-2/
Book now! Best price | Spacious| With balcony |Mid Floor,JLT Jumeirah Lake Towers,Icon Tower 2,60000,1 Bedrooms,2 Bathrooms,749,https://dubai.dubizzle.com/property-for-rent/residential/apartmentflat/2018/11/1/book-now-best-price-spacious-with-balcony--2/
MAG214 - ONE BEDROOM WITH BALCONY - HIGHER FLOOR !,JLT Jumeirah Lake Towers,Mag 214,60000,1 Bedrooms,1 Bathrooms,760,https://dubai.dubizzle.com/property-for-rent/residential/apartmentflat/2018/10/31/mag214-one-bedroom-with-balcony-higher-flo-2/
Hot Deal |Pool View| 1Bedroom | Imperial Residence,JLT Jumeirah Lake Towers,Imperial Residence,60000,1 Bedrooms,2 Bathrooms,793,https://dubai.dubizzle.com/property-for-rent/residential/apartmentflat/2018/10/31/hot-deal-pool-view-1bedroom-imperial-resid-2/
Huge 1BR in JLT|Best Price|Great View,JLT Jumeirah Lake Towers,Lake Point,60000,1 Bedrooms,2 Bathrooms,980,https://dubai.dubizzle.com/property-for-rent/residential/apartmentflat/2018/10/30/huge-1br-in-jlt-best-price-great-view-2/
"Vacant, 1BR in Lake Point Tower,JLT",JLT Jumeirah Lake Towers,Lake Point,60000,,,,https://dubai.dubizzle.com/property-for-rent/residential/apartmentflat/2018/10/29/vacant-1br-in-lake-point-tower-jlt-2/
jlt.SPECIOUS BRIGHT 1BEDROOM APARTMENT opp metro,JLT Jumeirah Lake Towers,Al Waleed Paradise,60000,1 Bedrooms,2 Bathrooms,900,https://dubai.dubizzle.com/property-for-rent/residential/apartmentflat/2018/10/29/jltspecious-bright-2bedroom-apartment-sea--2/
Spacious  Elegant | 1 Bed Apt | 4 Cheqs,JLT Jumeirah Lake Towers,Lake Point,60000,1 Bedrooms,2 Bathrooms,980,https://dubai.dubizzle.com/property-for-rent/residential/apartmentflat/2018/10/28/spacious-elegant-1-bed-apt-4-cheqs-2/
VACANT LARGE 1 BEDROOM FOR RENT I IN LAKE POINT TOWER,JLT Jumeirah Lake Towers,Lake Point,60000,1 Bedrooms,2 Bathrooms,980,https://dubai.dubizzle.com/property-for-rent/residential/apartmentflat/2018/10/27/vacant-large-1-bedroom-for-rent-i-in-lake--2/
"Great Offer!! 1 BHK w/ balcony in Lake Point Tower JLT Cluster N  available for rent AED 60,000",JLT Jumeirah Lake Towers,Lake Point,60000,1 Bedrooms,2 Bathrooms,980,https://dubai.dubizzle.com/property-for-rent/residential/apartmentflat/2018/10/25/great-offer-1-bhk-w-balcony-in-lake-point--2/
Cheapest | 1 Bedroom | Close Kitchen | Near to Metro,JLT Jumeirah Lake Towers,Mag 214,60000,1 Bedrooms,2 Bathrooms,800,https://dubai.dubizzle.com/property-for-rent/residential/apartmentflat/2018/10/24/cheapest-1-bedroom-close-kitchen-near-to-m-2/
"Chiller Free , 1bedroom in Concorde tower JLT",JLT Jumeirah Lake Towers,Concorde,60000,1 Bedrooms,2 Bathrooms,830,https://dubai.dubizzle.com/property-for-rent/residential/apartmentflat/2018/10/24/chiller-free-1bedroom-in-concorde-tower-jl-2/
"Pay 4 Chqs 1 bed in JLT, Lake Point Tower",JLT Jumeirah Lake Towers,Lake Point,60000,1 Bedrooms,2 Bathrooms,980,https://dubai.dubizzle.com/property-for-rent/residential/apartmentflat/2018/10/18/pay-4-chqs-1-bed-in-jlt-lake-point-tower-2/
1 BR for rent in Lake Point tower JLT with Balcony,JLT Jumeirah Lake Towers,Lake Point,60000,1 Bedrooms,2 Bathrooms,850,https://dubai.dubizzle.com/property-for-rent/residential/apartmentflat/2018/10/16/1-br-for-rent-in-lake-point-tower-jlt-with-2/
Fully Upgraded 1Br |Low Floor|Lake point,JLT Jumeirah Lake Towers,Lake Point,60000,1 Bedrooms,2 Bathrooms,900,https://dubai.dubizzle.com/property-for-rent/residential/apartmentflat/2018/10/15/fully-upgraded-1br-low-floor-lake-point-2/
1 Bedroom with Full lake view on high floor on lake view,JLT Jumeirah Lake Towers,Lake View,60000,1 Bedrooms,2 Bathrooms,854,https://dubai.dubizzle.com/property-for-rent/residential/apartmentflat/2018/10/9/1-bedroom-with-full-lake-view-on-high-floo-2/
"Marina View 1 BR in Al Waleed Paradise, JLT",JLT Jumeirah Lake Towers,Al Waleed Paradise,60000,1 Bedrooms,2 Bathrooms,900,https://dubai.dubizzle.com/property-for-rent/residential/apartmentflat/2018/10/9/marina-view-1-br-in-al-waleed-paradise-jlt-2/
Lux 1bedroom in JLT for rent - lake view,JLT Jumeirah Lake Towers,Dubai Gate 1,60000,1 Bedrooms,1 Bathrooms,445,https://dubai.dubizzle.com/property-for-rent/residential/apartmentflat/2018/10/7/lux-1bedroom-in-jlt-for-rent-lake-view-2/
"1 B/R APT AT ICON TOWER , COMMUNITY VIEW",JLT Jumeirah Lake Towers,Icon Tower 2,55000,1 Bedrooms,2 Bathrooms,750,https://dubai.dubizzle.com/property-for-rent/residential/apartmentflat/2018/10/31/1-br-apt-at-icon-tower-community-view-2/
Low Floor Large 1 Bed I Cluster N,JLT Jumeirah Lake Towers,Lake Point,59999,1 Bedrooms,2 Bathrooms,980,https://dubai.dubizzle.com/property-for-rent/residential/apartmentflat/2018/10/10/low-floor-large-1-bed-i-cluster-n-2/
Chiller free/ High floor/ Balcony,JLT Jumeirah Lake Towers,Concorde,60000,1 Bedrooms,2 Bathrooms,730,https://dubai.dubizzle.com/property-for-rent/residential/apartmentflat/2018/9/25/spacious-1-br-apartment-on-high-floor-equi-2/
V3|1bed|Unfurnished|Meadows view|lower floor,JLT Jumeirah Lake Towers,V3 Tower,73000,1 Bedrooms,2 Bathrooms,807,https://dubai.dubizzle.com/property-for-rent/residential/apartmentflat/2018/10/15/v3-1bed-unfurnished-meadows-view-lower-flo-2/
Refurbished 1BR Duplex w/ refreshing lake view,JLT Jumeirah Lake Towers,Jumeirah Bay 1,75000,1 Bedrooms,2 Bathrooms,978,https://dubai.dubizzle.com/property-for-rent/residential/apartmentflat/2018/11/21/refurbished-1br-duplex-w-refreshing-lake-v-2/
"Clean 1 Bedroom Apartment for rent  in Mag214, JLT",JLT Jumeirah Lake Towers,Mag 214,60000,1 Bedrooms,2 Bathrooms,850,https://dubai.dubizzle.com/property-for-rent/residential/apartmentflat/2018/10/6/cleanspacious-1-bedroom-apartment-for-rent-2-3/
Cozy 1BR Apartment | Dubai Gate | Vacant,JLT Jumeirah Lake Towers,Dubai Gate 1,60000,1 Bedrooms,1 Bathrooms,445,https://dubai.dubizzle.com/property-for-rent/residential/apartmentflat/2018/10/1/cozy-1-br-apartment-dubai-gate-1-vacant-2/
"Lake View Spacious 1 B/R apt, Icon 2,JLT",JLT Jumeirah Lake Towers,Icon Tower 2,60000,1 Bedrooms,2 Bathrooms,850,https://dubai.dubizzle.com/property-for-rent/residential/apartmentflat/2018/10/1/chiller-free-1-br-lake-view-icon-2-jlt-2/
Chiller free/ High floor/ Balcony,JLT Jumeirah Lake Towers,Concorde,60000,1 Bedrooms,2 Bathrooms,730,https://dubai.dubizzle.com/property-for-rent/residential/apartmentflat/2018/9/25/spacious-1-br-apartment-on-high-floor-equi-2/
One Bedroom Apartment | Lake Point Tower,JLT Jumeirah Lake Towers,Lake Point,60000,1 Bedrooms,2 Bathrooms,978,https://dubai.dubizzle.com/property-for-rent/residential/apartmentflat/2018/9/24/one-bedroom-apartment-lake-point-tower-2/
huge 1BR apartment in JLT,JLT Jumeirah Lake Towers,Lake Point,60000,1 Bedrooms,2 Bathrooms,1000,https://dubai.dubizzle.com/property-for-rent/residential/apartmentflat/2018/9/22/huge-1br-apartment-in-jlt-2/
Higher Floor | Lake View | 6 payments |,JLT Jumeirah Lake Towers,Icon Tower 1,60000,1 Bedrooms,2 Bathrooms,748,https://dubai.dubizzle.com/property-for-rent/residential/apartmentflat/2018/9/9/higher-floor-lake-view-large-balcony-2/
Hot Offer || Lake Facing || 1BR Hall || 850 SQFT,JLT Jumeirah Lake Towers,Lakeside Residence,60000,1 Bedrooms,1 Bathrooms,850,https://dubai.dubizzle.com/property-for-rent/residential/apartmentflat/2018/9/7/hot-offer-lake-facing-1br-hall-850-sqft-2/
"Furnished1 BD , in Dubai Gate One , JLT.",JLT Jumeirah Lake Towers,Dubai Gate 1,60000,1 Bedrooms,1 Bathrooms,532,https://dubai.dubizzle.com/property-for-rent/residential/apartmentflat/2018/9/4/furnished1-bd-in-dubai-gate-one-jlt-2/
"Ready now | Large 1 bed | Lakepoint, JLT",JLT Jumeirah Lake Towers,Lake Point,60000,1 Bedrooms,1 Bathrooms,825,https://dubai.dubizzle.com/property-for-rent/residential/apartmentflat/2018/8/30/ready-now-large-1-bed-lakepoint-jlt-2/
ICON TOWER 1 ONE BEDROOM FOR RENT,JLT Jumeirah Lake Towers,Icon Tower 1,60000,,,,https://dubai.dubizzle.com/property-for-rent/residential/apartmentflat/2018/8/30/icon-tower-1-one-bedroom-for-rent-2/
1 Bedroom Home with Lake View on a High Floor in Lake City,JLT Jumeirah Lake Towers,Lake City,60000,1 Bedrooms,2 Bathrooms,737,https://dubai.dubizzle.com/property-for-rent/residential/apartmentflat/2018/8/28/1-bedroom-home-with-lake-view-on-a-high-fl-2/
Huge Full Lake View 1BR at Icon Tower JLT,JLT Jumeirah Lake Towers,Icon Tower 1,60000,1 Bedrooms,1 Bathrooms,900,https://dubai.dubizzle.com/property-for-rent/residential/apartmentflat/2018/8/9/cheapest-lake-view-1br-at-icon-tower-jlt-2/
"1BR with park view, close  to Metro  Stn",JLT Jumeirah Lake Towers,Dubai Gate 1,60000,1 Bedrooms,1 Bathrooms,750,https://dubai.dubizzle.com/property-for-rent/residential/apartmentflat/2018/7/3/1br-park-view-walking-distance-to-metro-st-2/
FULLY FURNISHED 1 BEDROOM APARTMENT IN LAKE VIEW FOR 60K ONLY!,JLT Jumeirah Lake Towers,Lake View,60000,1 Bedrooms,2 Bathrooms,870,https://dubai.dubizzle.com/property-for-rent/residential/apartmentflat/2018/4/14/fully-furnished-1-bedroom-apartment-in-lak-2/
jlt.1BEDROOM APARTMENT WITH BALCONY OPP METRO  PARK,JLT Jumeirah Lake Towers,Al Waleed Paradise,60000,1 Bedrooms,2 Bathrooms,900,https://dubai.dubizzle.com/property-for-rent/residential/apartmentflat/2017/10/2/jlt1bedroom-apartment-aed65k-and-75k-in-al-2/
LESS PRICE 1 BED ON JLT METRO STATION IN JLT,JLT Jumeirah Lake Towers,Lake City,61000,1 Bedrooms,2 Bathrooms,1000,https://dubai.dubizzle.com/property-for-rent/residential/apartmentflat/2018/11/11/less-price-1-bed-on-jlt-metro-station-in-j-2/
Best Layout I 1BR I Brand New I Low Rent,JLT Jumeirah Lake Towers,Dubai Gate 2,61000,1 Bedrooms,2 Bathrooms,1000,https://dubai.dubizzle.com/property-for-rent/residential/apartmentflat/2018/11/4/spacious-i1br-i-low-floor-ilake-view-jlt-2/
1 bedroom for rent in 4 chqs payment,JLT Jumeirah Lake Towers,Lake Point,61000,1 Bedrooms,2 Bathrooms,900,https://dubai.dubizzle.com/property-for-rent/residential/apartmentflat/2018/10/14/1-bedroom-for-rent-in-4-chqs-payment-2/
Large One Bedroom Apartment in Lakepoint,JLT Jumeirah Lake Towers,Lake Point,62000,1 Bedrooms,2 Bathrooms,979,https://dubai.dubizzle.com/property-for-rent/residential/apartmentflat/2018/11/27/large-one-bedroom-apartment-in-lakepoint-2/
Nice apartment w/appliances and balcony.,JLT Jumeirah Lake Towers,Lake Point,62000,1 Bedrooms,2 Bathrooms,979,https://dubai.dubizzle.com/property-for-rent/residential/apartmentflat/2018/11/25/nice-apartment-wappliances-and-balcony-2/
Modern-designed 1 Bedroom with awesome Lake View in JLT,JLT Jumeirah Lake Towers,Lake City,62000,1 Bedrooms,2 Bathrooms,665,https://dubai.dubizzle.com/property-for-rent/residential/apartmentflat/2018/11/25/modern-designed-1-bedroom-with-awesome-lak-2/
MARINA VIEW - 1 BED WITH BIG BALCONY IN JLT,JLT Jumeirah Lake Towers,Armada 3,62000,1 Bedrooms,2 Bathrooms,900,https://dubai.dubizzle.com/property-for-rent/residential/apartmentflat/2018/11/22/marina-view-1-bed-with-big-balcony-in-jlt-2/
"Upgraded 1 Bedroom Apartment in Mag 214, JLT",JLT Jumeirah Lake Towers,Mag 214,62000,1 Bedrooms,2 Bathrooms,790,https://dubai.dubizzle.com/property-for-rent/residential/apartmentflat/2018/11/11/upgraded-and-furnished-apartment-in-mag-21-2/
LARGE 1 BED APT CHILLER FREE IN CONCORD TOWER 62K 2 CHEQS,JLT Jumeirah Lake Towers,Concorde,62000,1 Bedrooms,2 Bathrooms,850,https://dubai.dubizzle.com/property-for-rent/residential/apartmentflat/2018/11/8/large-1-bed-apt-chiller-free-in-concord-to-2/
"1 B/R APT AT ICON TOWER , COMMUNITY VIEW",JLT Jumeirah Lake Towers,Icon Tower 2,55000,1 Bedrooms,2 Bathrooms,750,https://dubai.dubizzle.com/property-for-rent/residential/apartmentflat/2018/10/31/1-br-apt-at-icon-tower-community-view-2/
Low Floor Large 1 Bed I Cluster N,JLT Jumeirah Lake Towers,Lake Point,59999,1 Bedrooms,2 Bathrooms,980,https://dubai.dubizzle.com/property-for-rent/residential/apartmentflat/2018/10/10/low-floor-large-1-bed-i-cluster-n-2/
V3|1bed|Unfurnished|Meadows view|lower floor,JLT Jumeirah Lake Towers,V3 Tower,73000,1 Bedrooms,2 Bathrooms,807,https://dubai.dubizzle.com/property-for-rent/residential/apartmentflat/2018/10/15/v3-1bed-unfurnished-meadows-view-lower-flo-2/
Biggest 1Bed Best Tower in JLT Al Sheraa,JLT Jumeirah Lake Towers,Al Shera,75000,1 Bedrooms,2 Bathrooms,1021,https://dubai.dubizzle.com/property-for-rent/residential/apartmentflat/2018/10/21/biggest-1bed-best-tower-in-al-sheraa-jlt-2/
Refurbished 1BR Duplex w/ refreshing lake view,JLT Jumeirah Lake Towers,Jumeirah Bay 1,75000,1 Bedrooms,2 Bathrooms,978,https://dubai.dubizzle.com/property-for-rent/residential/apartmentflat/2018/11/21/refurbished-1br-duplex-w-refreshing-lake-v-2/
"Chiller Free Apt in JLT, Concorde Tower @62000",JLT Jumeirah Lake Towers,Concorde,62000,1 Bedrooms,2 Bathrooms,830,https://dubai.dubizzle.com/property-for-rent/residential/apartmentflat/2018/11/5/chiller-free-apt-in-jlt-concorde-tower-620-2/
Must Rent Vacant 1 Bedroom with 4 Cheques,JLT Jumeirah Lake Towers,Global Lake View,62000,1 Bedrooms,1 Bathrooms,750,https://dubai.dubizzle.com/property-for-rent/residential/apartmentflat/2018/11/1/must-rent-vacant-1-bedroom-with-4-cheques-2/
BEST PRICE 1 BED CHILLER FREE IN JLT,JLT Jumeirah Lake Towers,,62000,1 Bedrooms,2 Bathrooms,800,https://dubai.dubizzle.com/property-for-rent/residential/apartmentflat/2018/10/28/best-price-1-bed-chiller-free-in-jlt-2/
Huge 1BR with Balcony |Mid Floor |MAG 214,JLT Jumeirah Lake Towers,Mag 214,62000,1 Bedrooms,2 Bathrooms,785,https://dubai.dubizzle.com/property-for-rent/residential/apartmentflat/2018/10/25/huge-1br-with-balcony-mid-floor-mag-214-2/
Lake Facing Furnished 1 Bedroom For Rent In Mag 214 JLT,JLT Jumeirah Lake Towers,Mag 214,62000,1 Bedrooms,2 Bathrooms,800,https://dubai.dubizzle.com/property-for-rent/residential/apartmentflat/2018/10/16/lake-facing-1-bedroom-for-rent-in-mag-214--2/
NO COMMISSION Furnished 1 BR with balcony in JLT payable monthly,JLT Jumeirah Lake Towers,Icon Tower 1,62000,1 Bedrooms,1 Bathrooms,750,https://dubai.dubizzle.com/property-for-rent/residential/apartmentflat/2018/10/16/large-1-br-with-balcony-laundry-room-in-bu-2/
"Nice Fully Furnished 1 Bedroom in Lake Point , JLT@AED 62K, 1 Chq / AED 65K, 4 Chqs",JLT Jumeirah Lake Towers,Lake Point,62000,1 Bedrooms,2 Bathrooms,972,https://dubai.dubizzle.com/property-for-rent/residential/apartmentflat/2018/10/15/nice-fully-furnished-1-bedroom-in-lake-poi-2/
"Fully Furnished Lake Point Nice 1 Bedroom in JLT @ AED 62K, Single Chq",JLT Jumeirah Lake Towers,Lake Point,62000,1 Bedrooms,2 Bathrooms,972,https://dubai.dubizzle.com/property-for-rent/residential/apartmentflat/2018/10/10/fully-furnished-lake-point-nice-1-bedroom--2/
