title,building1,building2,price,bedroom,bathroom,area
1 BED APT CHILLER FREE IN DEC TOWER DUBAI MARINA ONLY 65K,Dubai Marina,DEC Towers,65000,1 Bedrooms,2 Bathrooms,840,https://dubai.dubizzle.com/property-for-rent/residential/apartmentflat/2018/11/10/1-bed-apt-chiller-free-in-dec-tower-dubai--2/
"1Br in Dream Tower,Dubai Marina FOR RENT",Dubai Marina,Dream Tower,65000,1 Bedrooms,2 Bathrooms,637,https://dubai.dubizzle.com/property-for-rent/residential/apartmentflat/2018/11/8/1br-in-dream-tower-dubai-marina-for-rent-2/
Furnished |1 Bedroom Apartment | Marina Pinnacle,Dubai Marina,Marina Pinnacle,65000,1 Bedrooms,2 Bathrooms,844,https://dubai.dubizzle.com/property-for-rent/residential/apartmentflat/2018/11/8/furnished-1-bedroom-apartment-marina-pinna-2/
2 Weeks For FREE|Chiller Free | Biggest 1 Bed in DEC,Dubai Marina,DEC Towers,65000,1 Bedrooms,2 Bathrooms,948,https://dubai.dubizzle.com/property-for-rent/residential/apartmentflat/2018/11/8/2-weeks-for-free-chiller-free-biggest-1-be-2/
Available Now. Unfurnished. Large garden,Dubai Marina,Marina Diamond 2,65000,1 Bedrooms,2 Bathrooms,1100,https://dubai.dubizzle.com/property-for-rent/residential/apartmentflat/2018/11/8/available-now-unfurnished-large-garden-2/
Brand New |Marina View |Fully Furnished,,,117600,1 Bedrooms,2 Bathrooms,895,https://dubai.dubizzle.com/property-for-rent/residential/apartmentflat/2018/10/4/brand-new-marina-view-2/
EXCELLENT DEAL 1 BED APT IN DEC TOWER CHILLER FREE 65K,Dubai Marina,DEC Towers,65000,1 Bedrooms,2 Bathrooms,850,https://dubai.dubizzle.com/property-for-rent/residential/apartmentflat/2018/11/8/excellent-deal-1-bed-apt-in-dec-tower-chil-2/
1 Bed | Near Metro| Marina Diamond | 65k,Dubai Marina,Marina Diamond 6,65000,1 Bedrooms,1 Bathrooms,714,https://dubai.dubizzle.com/property-for-rent/residential/apartmentflat/2018/11/8/1-bed-near-metro-marina-diamond-65k-2/
"Bright 1BR w/ Partial Sea View, Ac Free,O52-9243459",Dubai Marina,Sulafa Tower,65000,1 Bedrooms,2 Bathrooms,1120,https://dubai.dubizzle.com/property-for-rent/residential/apartmentflat/2018/11/7/bright-1br-w-partial-sea-view-ac-free-o52--2/
Hot Deal Furnished 1BR apt | 4chqs | Chiller free!!,Dubai Marina,Marina Diamond 4,65000,1 Bedrooms,1 Bathrooms,730,https://dubai.dubizzle.com/property-for-rent/residential/apartmentflat/2018/11/7/hot-deal-furnished-1br-apt-4chqs-chiller-f-2/
NICE APARTMENT | Marina and Sea view 1BR in Escan Tower,Dubai Marina,Escan Tower,65000,1 Bedrooms,1 Bathrooms,705,https://dubai.dubizzle.com/property-for-rent/residential/apartmentflat/2018/11/6/nice-apartment-marina-and-sea-view-1br-in--2/
1 Bedroom in Manchester Tower w/ SZR View,Dubai Marina,Manchester Tower,65000,1 Bedrooms,2 Bathrooms,1080,https://dubai.dubizzle.com/property-for-rent/residential/apartmentflat/2018/11/6/1-bedroom-in-manchester-tower-w-szr-view-2/
Spacious 1 Bedroom in DEC Tower for Rent,Dubai Marina,DEC Towers,65000,1 Bedrooms,2 Bathrooms,823,https://dubai.dubizzle.com/property-for-rent/residential/apartmentflat/2018/11/6/spacious-1-bedroom-in-dec-tower-for-rent-2/
Available Now l Unfurnished l Mid Floor,Dubai Marina,Sulafa Tower,65000,1 Bedrooms,1 Bathrooms,741,https://dubai.dubizzle.com/property-for-rent/residential/apartmentflat/2018/11/6/available-now-l-unfurnished-l-mid-floor-2/
"*Big ,Well-lit 1BR w/Ac Free,O52-9243459",Dubai Marina,Sulafa Tower,65000,1 Bedrooms,2 Bathrooms,991,https://dubai.dubizzle.com/property-for-rent/residential/apartmentflat/2018/11/5/-big-and-naturally-well-lit-1br-in-sulafa--2/
Bay central 1 Bedroom for Rent,Dubai Marina,Bay Central,65000,1 Bedrooms,1 Bathrooms,638,https://dubai.dubizzle.com/property-for-rent/residential/apartmentflat/2018/11/5/bay-central-1-bedroom-for-rent-2/
LakeView I 1 BR I Spacious Balcony I JLT,Dubai Marina,Marina Gate 2,65000,1 Bedrooms,2 Bathrooms,750,https://dubai.dubizzle.com/property-for-rent/residential/apartmentflat/2018/11/4/lakeview-i-1-br-i-spacious-balcony-i-jlt-2/
Spacious I1BR I Low Floor ILake View JLT,Dubai Marina,Marina Gate 2,65000,1 Bedrooms,2 Bathrooms,750,https://dubai.dubizzle.com/property-for-rent/residential/apartmentflat/2018/11/4/spacious-i1br-i-low-floor-ilake-view-jlt-2/
1BR in Dubai Marina Dm6  Building  AC and Gas Free,Dubai Marina,Marina Diamond 6,65000,1 Bedrooms,1 Bathrooms,800,https://dubai.dubizzle.com/property-for-rent/residential/apartmentflat/2018/11/4/1br-in-dubai-marina-dm6-building-ac-and-ga-2/
Large 1 Bedroom Apartment for Rent in Dubai Marina DEC Tower,Dubai Marina,DEC Towers,65000,1 Bedrooms,1 Bathrooms,947,https://dubai.dubizzle.com/property-for-rent/residential/apartmentflat/2018/11/4/large-1-bedroom-apartment-for-rent-in-duba-2/
1bed in Marina Crown for rent Full Sea and Palm view 65k 4CHEQ,Dubai Marina,Marina Crown,65000,1 Bedrooms,2 Bathrooms,803,https://dubai.dubizzle.com/property-for-rent/residential/apartmentflat/2018/11/4/1bed-in-marina-crown-for-rent-full-sea-and-2/
Fully Furnished 1 Bed Panoramic Dubai Marina,Dubai Marina,Panoramic Tower,65000,1 Bedrooms,2 Bathrooms,595,https://dubai.dubizzle.com/property-for-rent/residential/apartmentflat/2018/11/3/fully-furnished-1-bed-panoramic-dubai-mari-2/
High floor 1 Bed room for rent at time place tower marina Dubai DM,Dubai Marina,Time Place Tower,65000,1 Bedrooms,2 Bathrooms,700,https://dubai.dubizzle.com/property-for-rent/residential/apartmentflat/2018/11/3/high-floor-1-bed-room-for-rent-at-time-pla-2/
Marina View | DEC Towers | One Bedroom |,Dubai Marina,DEC Towers,65000,1 Bedrooms,2 Bathrooms,824,https://dubai.dubizzle.com/property-for-rent/residential/apartmentflat/2018/11/1/marina-view-dec-towers-one-bedroom--2/
Nice Spacious|1BR| Sulafa Tower @ 65K Only,Dubai Marina,Sulafa Tower,65000,1 Bedrooms,2 Bathrooms,1100,https://dubai.dubizzle.com/property-for-rent/residential/apartmentflat/2018/11/1/nice-spacious-1br-sulafa-tower-65k-only-2/
Great Value | Furnished | Prime Location - End Nov.,Dubai Marina,Marina Pinnacle,65000,1 Bedrooms,2 Bathrooms,800,https://dubai.dubizzle.com/property-for-rent/residential/apartmentflat/2018/10/31/great-value-furnished-prime-location-end-n-2/
"Hot Deal , 1Br Cheapest Price Maintained",Dubai Marina,Sulafa Tower,65000,1 Bedrooms,2 Bathrooms,780,https://dubai.dubizzle.com/property-for-rent/residential/apartmentflat/2018/10/31/hot-deal-1br-cheapest-price-maintained-2/
"Spacious 1 Bed Next to Marina Walk in Sulafa, Marina",Dubai Marina,Sulafa Tower,65000,1 Bedrooms,2 Bathrooms,800,https://dubai.dubizzle.com/property-for-rent/residential/apartmentflat/2018/10/31/spacious-1-bed-next-to-marina-walk-in-sula-2/
Grab this Deal Fully Furnished One Bedroom In Dubai Marina,Dubai Marina,Marina Diamond 2,65000,1 Bedrooms,1 Bathrooms,670,https://dubai.dubizzle.com/property-for-rent/residential/apartmentflat/2018/10/31/grab-this-deal-fully-furnished-one-bedroom-2/
1 BED APT IN TORCH TOWER MARINA ONLY 65K 1 CHEQ,Dubai Marina,The Torch,65000,1 Bedrooms,1 Bathrooms,800,https://dubai.dubizzle.com/property-for-rent/residential/apartmentflat/2018/10/31/1-bed-apt-in-torch-tower-marina-only-65k-1-2/
Deal Of The Day! Cheapest  Huge 1 BHK,Dubai Marina,Sulafa Tower,65000,1 Bedrooms,2 Bathrooms,778,https://dubai.dubizzle.com/property-for-rent/residential/apartmentflat/2018/10/30/deal-of-the-day-cheapest-huge-1-bhk-2/
Brand New |Marina View |Fully Furnished,,,117600,1 Bedrooms,2 Bathrooms,895,https://dubai.dubizzle.com/property-for-rent/residential/apartmentflat/2018/10/4/brand-new-marina-view-2/
Exclusive 1 BR | Unfurnished |Sulafa Tower,Dubai Marina,Sulafa Tower,65000,1 Bedrooms,1 Bathrooms,910,https://dubai.dubizzle.com/property-for-rent/residential/apartmentflat/2018/10/30/exclusive-1-br-unfurnished-sulafa-tower-2/
Marina View A | Spacious 1BR | City View,Dubai Marina,Marina View Tower A,65000,1 Bedrooms,2 Bathrooms,800,https://dubai.dubizzle.com/property-for-rent/residential/apartmentflat/2018/10/30/marina-view-a-spacious-1br-city-view-2/
"Fully Furnished 1BR Apartment, Balcony, Dream Tower",Dubai Marina,Dream Tower,65000,1 Bedrooms,2 Bathrooms,690,https://dubai.dubizzle.com/property-for-rent/residential/apartmentflat/2018/10/30/fully-furnished-1br-apartment-balcony-drea-2/
EXCLUSIVE UNIT - PARTIAL SEA VIEW 1 BR FOR RENT IN MARINA PINNACLE TOWER,Dubai Marina,Marina Pinnacle,65000,1 Bedrooms,2 Bathrooms,741,https://dubai.dubizzle.com/property-for-rent/residential/apartmentflat/2018/10/30/exclusive-unit-sea-view-1-bedroom-for-rent-2/
Partial Marina View Apt in Marina Diamond 6 for Rent,Dubai Marina,Marina Diamond 6,65000,1 Bedrooms,1 Bathrooms,716,https://dubai.dubizzle.com/property-for-rent/residential/apartmentflat/2018/10/29/partial-marina-view-apt-in-marina-diamond--2/
Marina Pearl Dubai Marina 1B/R and Hall 957 Sqft. 2 Full Baths and Close Kitchen. walking Distance t,Dubai Marina,Marina Pearl,65000,1 Bedrooms,2 Bathrooms,957,https://dubai.dubizzle.com/property-for-rent/residential/apartmentflat/2018/10/29/marina-pearl-dubai-marina-1br-and-hall-957-2/
Offer On Spacious 1 BR With Marina View,Dubai Marina,Marina First,65000,1 Bedrooms,2 Bathrooms,975,https://dubai.dubizzle.com/property-for-rent/residential/apartmentflat/2018/10/29/offer-on-spacious-1-br-with-marina-view-2/
Beautiful 1 BR Apartment in Dubai Marina,Dubai Marina,Marina Diamond 3,65000,1 Bedrooms,2 Bathrooms,683,https://dubai.dubizzle.com/property-for-rent/residential/apartmentflat/2018/10/29/beautiful-1-br-apartment-in-dubai-marina-2/
Move In Today- Very Accessible- Dubai Marina,Dubai Marina,Escan Tower,65000,1 Bedrooms,1 Bathrooms,850,https://dubai.dubizzle.com/property-for-rent/residential/apartmentflat/2018/10/28/move-in-today-very-accessible-dubai-marina-2/
Amazing Deal!  Well maintained 1 Br Apt.,Dubai Marina,Marina Crown,65000,1 Bedrooms,1 Bathrooms,755,https://dubai.dubizzle.com/property-for-rent/residential/apartmentflat/2018/10/28/amazing-deal-well-maintained-1-br-apt-2/
"Brand New 1 BR Marina, 6 cheqs, Chiller Free",Dubai Marina,,65000,1 Bedrooms,2 Bathrooms,800,https://dubai.dubizzle.com/property-for-rent/residential/apartmentflat/2018/10/28/brand-new-1-br-marina-balcony-chiller-free-2/
"Vacant 1 BR in Marina, Kitchen Appliances",Dubai Marina,,65000,1 Bedrooms,2 Bathrooms,975,https://dubai.dubizzle.com/property-for-rent/residential/apartmentflat/2018/10/28/vacant-1-br-in-marina-kitchen-appliances-2/
HOT OFFER  1bed in Marina Crown for rent Full Sea and Palm view 65k 4CH,Dubai Marina,Marina Crown,65000,1 Bedrooms,2 Bathrooms,803,https://dubai.dubizzle.com/property-for-rent/residential/apartmentflat/2018/10/28/hot-offer-39-39-1bed-in-marina-crown-for-r-2/
fully furnished on marina walk,Dubai Marina,Panoramic Tower,65000,1 Bedrooms,2 Bathrooms,650,https://dubai.dubizzle.com/property-for-rent/residential/apartmentflat/2018/10/28/fully-furnished-on-marina-walk-2/
Best in the market 1BHK in bay central west Marina for rent !,Dubai Marina,Bay Central,65000,1 Bedrooms,2 Bathrooms,640,https://dubai.dubizzle.com/property-for-rent/residential/apartmentflat/2018/10/28/best-in-the-market-1bhk-in-bay-central-wes-2/
Marina first tower 1B/R rent AED65K,Dubai Marina,Marina First,65000,1 Bedrooms,2 Bathrooms,1000,https://dubai.dubizzle.com/property-for-rent/residential/apartmentflat/2018/10/27/marina-first-tower-1br-rent-aed65k-2/
fully furnished 1 bedroom high floor,Dubai Marina,Marina Pinnacle,65000,1 Bedrooms,2 Bathrooms,835,https://dubai.dubizzle.com/property-for-rent/residential/apartmentflat/2018/10/25/fully-furnished-1-bedroom-high-floor-2/
Marina view/chiller free mind blowing one bed.,Dubai Marina,Escan Tower,65000,1 Bedrooms,2 Bathrooms,780,https://dubai.dubizzle.com/property-for-rent/residential/apartmentflat/2018/10/25/marina-viewchiller-free-mind-blowing-one-b-2/
Brand New 1 Bedroom Apartment in Dubai Marina,Dubai Marina,,65000,1 Bedrooms,1 Bathrooms,800,https://dubai.dubizzle.com/property-for-rent/residential/apartmentflat/2018/10/24/brand-new-1-bedroom-apartment-in-dubai-mar-2-5/
Brand New 1 Bedroom Apartment in Dubai Marina,Dubai Marina,,65000,1 Bedrooms,1 Bathrooms,809,https://dubai.dubizzle.com/property-for-rent/residential/apartmentflat/2018/10/24/brand-new-1-bedroom-apartment-in-dubai-mar-2-3/
Chiller Free l Vacant | Marina Pinnacle,Dubai Marina,Marina Pinnacle,65000,1 Bedrooms,2 Bathrooms,930,https://dubai.dubizzle.com/property-for-rent/residential/apartmentflat/2018/10/24/chiller-free-l-vacant-marina-pinnacle-2/
EXCELLENT DEAL LARGE 1 BED APT IN TORCH ONLY 65K 1 CHEQ,Dubai Marina,The Torch,65000,1 Bedrooms,1 Bathrooms,850,https://dubai.dubizzle.com/property-for-rent/residential/apartmentflat/2018/10/24/excellent-deal-large-1-bed-apt-in-princess-2/
Brand New 1 Bedroom Apartment in Dubai Marina,Dubai Marina,,65000,1 Bedrooms,1 Bathrooms,734,https://dubai.dubizzle.com/property-for-rent/residential/apartmentflat/2018/10/24/brand-new-1-bedroom-apartment-in-dubai-mar-2-2/
Spacious 1 bedroom | Vacant now in Dubai Marina,Dubai Marina,Marina First,65000,1 Bedrooms,2 Bathrooms,975,https://dubai.dubizzle.com/property-for-rent/residential/apartmentflat/2018/10/23/spacious-1-bedroom-vacant-now-in-dubai-mar-2/
1 BR apartment in Dubai Marina,Dubai Marina,Azure,65000,1 Bedrooms,1 Bathrooms,750,https://dubai.dubizzle.com/property-for-rent/residential/apartmentflat/2018/10/23/1-br-apartment-in-dubai-marina-2/
Brand New |Marina View |Fully Furnished,,,117600,1 Bedrooms,2 Bathrooms,895,https://dubai.dubizzle.com/property-for-rent/residential/apartmentflat/2018/10/4/brand-new-marina-view-2/
"Spectacular One Bedroom in Marina Heights for Rent AED 65,000",Dubai Marina,Marina Heights,65000,1 Bedrooms,2 Bathrooms,750,https://dubai.dubizzle.com/property-for-rent/residential/apartmentflat/2018/10/23/spectacular-one-bedroom-in-marina-heights--2/
Palm n Sea Facing Apart | Quiet Balcony,Dubai Marina,Sulafa Tower,65000,1 Bedrooms,2 Bathrooms,900,https://dubai.dubizzle.com/property-for-rent/residential/apartmentflat/2018/10/23/real-sea-facing-vacant-in-november-sulafa-2/
Amazing Offer Fully Furnished Near Metro,Dubai Marina,Marina Diamond 2,65000,1 Bedrooms,1 Bathrooms,630,https://dubai.dubizzle.com/property-for-rent/residential/apartmentflat/2018/10/23/amazing-offer-fully-furnished-near-metro-2/
Upscale 1 Bedroom Apartment for Rent in Marina First Tower,Dubai Marina,Marina First,65000,,,,https://dubai.dubizzle.com/property-for-rent/residential/apartmentflat/2018/10/22/upscale-1-bedroom-apartment-for-rent-in-ma-2/
HUGE 975SQF 1 BEDROOM VERY SPACIOUS READY TO MOVE IN,Dubai Marina,,65000,1 Bedrooms,2 Bathrooms,975,https://dubai.dubizzle.com/property-for-rent/residential/apartmentflat/2018/10/22/huge-975sqf-1-bedroom-very-spacious-ready--2/
"Deal of the Day !!! 1 Bedroom for Rent in Marina Heights, Call now for Viewing and Booking",Dubai Marina,Marina Heights,65000,1 Bedrooms,2 Bathrooms,780,https://dubai.dubizzle.com/property-for-rent/residential/apartmentflat/2018/10/22/deal-of-the-day-1-bedroom-for-rent-in-mari-2/
CHILLER FREE BRAND NEW 1BR IN MARINA 65K 4CHQS,Dubai Marina,,65000,1 Bedrooms,2 Bathrooms,850,https://dubai.dubizzle.com/property-for-rent/residential/apartmentflat/2018/10/21/chiller-free-brand-new-1br-in-marina-65k-4-2/
Luxury Bright Furnished 1BR apt | Chiller free!!,Dubai Marina,Marina Diamond 4,65000,1 Bedrooms,1 Bathrooms,800,https://dubai.dubizzle.com/property-for-rent/residential/apartmentflat/2018/10/21/bright-1br-apt-high-floor-chiller-free-2/
Rare Homes Offer 1 Bedroom in DEC tower - Dubai Marina,Dubai Marina,DEC Towers,65000,1 Bedrooms,2 Bathrooms,823,https://dubai.dubizzle.com/property-for-rent/residential/apartmentflat/2018/10/20/rare-homes-offer-1-bedroom-in-dec-tower-du-2/
Mid-Floor I Community View I 1 BR w/ Balcony,Dubai Marina,Sulafa Tower,65000,1 Bedrooms,2 Bathrooms,916,https://dubai.dubizzle.com/property-for-rent/residential/apartmentflat/2018/10/18/high-floor-i-community-view-i-75-net-roi-2/
FULLY FURNISHED 1 BEDROOM APARTMENT FOR RENT PINNACLE TOWER,Dubai Marina,Marina Pinnacle,65000,1 Bedrooms,2 Bathrooms,870,https://dubai.dubizzle.com/property-for-rent/residential/apartmentflat/2018/10/18/amazing-fully-furnished-1-bedroom-apartmen-2/
Ready to Move vacant 1bed sulafa tower marina,Dubai Marina,Sulafa Tower,65000,1 Bedrooms,2 Bathrooms,1280,https://dubai.dubizzle.com/property-for-rent/residential/apartmentflat/2018/10/18/ready-to-move-vacant-1bed-sulafa-tower-mar-2/
"Cheapest Price,Marina View Near to Metro",Dubai Marina,Dream Tower,65000,1 Bedrooms,2 Bathrooms,729,https://dubai.dubizzle.com/property-for-rent/residential/apartmentflat/2018/10/18/cheapest-price-marina-view-near-to-metro-2/
EXCELUSIVE UNIT - MARINA VIEW - VACANT 1 BR FOR RENT IN MARINA DIAMOND 2,Dubai Marina,Marina Diamond 2,65000,1 Bedrooms,2 Bathrooms,647,https://dubai.dubizzle.com/property-for-rent/residential/apartmentflat/2018/10/17/excelusive-unit-marina-view-vacant-1-br-fo-2/
"1BR - Brand new, Chiller free, Multiple units available",Dubai Marina,,65000,1 Bedrooms,2 Bathrooms,872,https://dubai.dubizzle.com/property-for-rent/residential/apartmentflat/2018/10/17/1br-brand-new-chiller-free-multiple-units--2/
1bed in Marina Crown for rent  Full Sea and Palm view 65k 4CHEQS,Dubai Marina,Marina Crown,65000,1 Bedrooms,2 Bathrooms,803,https://dubai.dubizzle.com/property-for-rent/residential/apartmentflat/2018/10/16/1bed-in-marina-crown-for-rent-full-sea-and-2/
1 Bedroom for Rent - TESTING PURPOSES ONLY,Dubai Marina,23 Marina,65000,1 Bedrooms,2 Bathrooms,780,https://dubai.dubizzle.com/property-for-rent/residential/apartmentflat/2018/10/16/1-bedroom-for-rent-testing-purposes-only-2/
Fully Furnished 1 BR for rent in Marina Res. B,Dubai Marina,Marina Residence Dubai Marina,65000,1 Bedrooms,2 Bathrooms,613,https://dubai.dubizzle.com/property-for-rent/residential/apartmentflat/2018/10/16/fully-furnished-1-br-for-rent-in-marina-re-2/
Best Deal One Bedroom Flat  Near Metro,Dubai Marina,Marina Diamond 1,65000,1 Bedrooms,2 Bathrooms,836,https://dubai.dubizzle.com/property-for-rent/residential/apartmentflat/2018/10/16/best-deal-one-bedroom-flat-near-metro-2/
Ideal Locaton Huge One BHK Flat For Rent,Dubai Marina,Marina Pinnacle,65000,1 Bedrooms,2 Bathrooms,801,https://dubai.dubizzle.com/property-for-rent/residential/apartmentflat/2018/10/16/ideal-locaton-huge-one-bhk-flat-for-rent-2/
Furnished 1BR apt| Next to metro station!!,Dubai Marina,Marina Diamond 5,65000,1 Bedrooms,1 Bathrooms,715,https://dubai.dubizzle.com/property-for-rent/residential/apartmentflat/2018/10/16/furnished-1br-apt-next-to-metro-station--2/
Right Next to Beach @ 65K - Chiller Free,Dubai Marina,Dorra Bay,65000,1 Bedrooms,1 Bathrooms,750,https://dubai.dubizzle.com/property-for-rent/residential/apartmentflat/2018/10/16/right-next-to-beach-65k-chiller-free-2/
"1 Bedroom With Balcony |  Marina Pinnacle, Dubai Marina",Dubai Marina,Marina Pinnacle,65000,1 Bedrooms,2 Bathrooms,801,https://dubai.dubizzle.com/property-for-rent/residential/apartmentflat/2018/10/16/1-bedroom-with-balcony-marina-pinnacle-dub-2/
"Sulafa Tower, 1 Bedroom for RENT",Dubai Marina,Sulafa Tower,65000,1 Bedrooms,2 Bathrooms,746,https://dubai.dubizzle.com/property-for-rent/residential/apartmentflat/2018/10/15/sulafa-tower-1-bedroom-for-rent-2/
"Brand New I Multiple Units for 1 BR in Al Zarooni Bldg., Dubai Marina",Dubai Marina,Al Zarooni,65000,1 Bedrooms,1 Bathrooms,893,https://dubai.dubizzle.com/property-for-rent/residential/apartmentflat/2018/10/14/brand-new-i-multiple-units-for-1-br-in-al--2/
Brand New |Marina View |Fully Furnished,,,117600,1 Bedrooms,2 Bathrooms,895,https://dubai.dubizzle.com/property-for-rent/residential/apartmentflat/2018/10/4/brand-new-marina-view-2/
1bed with balcony close to metro at marina for rent,Dubai Marina,,65000,1 Bedrooms,1 Bathrooms,871,https://dubai.dubizzle.com/property-for-rent/residential/apartmentflat/2018/10/14/1bed-with-balcony-close-to-metro-at-marina-2/
1 BED APT CHILLER FREE IN BRAND NEW BUILDING 65K 4 CHEQS,Dubai Marina,Al Zarooni,65000,1 Bedrooms,2 Bathrooms,850,https://dubai.dubizzle.com/property-for-rent/residential/apartmentflat/2018/10/14/1-bed-apt-chiller-free-in-brand-new-buildi-2/
"1 Bhk Apt For Rent In Marina Wharf 1,Dubai Marina",Dubai Marina,Marina Wharf 1,65000,1 Bedrooms,2 Bathrooms,656,https://dubai.dubizzle.com/property-for-rent/residential/apartmentflat/2018/10/14/1-bhk-apt-for-rent-in-marina-wharf-1-dubai-2/
Clean - Close to Metro - Fully Furnished,Dubai Marina,Manchester Tower,65000,1 Bedrooms,2 Bathrooms,700,https://dubai.dubizzle.com/property-for-rent/residential/apartmentflat/2018/10/14/clean-close-to-metro-fully-furnished-2/
SPACIOUS ONE BED IN MARINA WHARF 1 #65 by 4 cheqs,Dubai Marina,Marina Wharf 1,65000,1 Bedrooms,2 Bathrooms,700,https://dubai.dubizzle.com/property-for-rent/residential/apartmentflat/2018/10/13/spacious-one-bed-in-marina-wharf-1-67k-2/
Stunning Furnished 1 BR in Marina Diamond 4,Dubai Marina,Marina Diamond 2,65000,1 Bedrooms,1 Bathrooms,754,https://dubai.dubizzle.com/property-for-rent/residential/apartmentflat/2018/10/12/stunning-furnished-one-bedroom-in-marina-d-2/
Golf View | 1BR|Chiller Free|Sulafa |65K,Dubai Marina,Sulafa Tower,65000,1 Bedrooms,2 Bathrooms,740,https://dubai.dubizzle.com/property-for-rent/residential/apartmentflat/2018/10/11/golf-view-1br-chiller-free-sulafa-65k-2/
"Best series in Pinnacle,Unfurnished Appt",Dubai Marina,Marina Pinnacle,65000,1 Bedrooms,2 Bathrooms,930,https://dubai.dubizzle.com/property-for-rent/residential/apartmentflat/2018/10/11/best-series-in-pinnacle-unfurnished-appt-2/
Unfurnished | Marina View | Dubai Marina,Dubai Marina,DEC Towers,65000,1 Bedrooms,2 Bathrooms,823,https://dubai.dubizzle.com/property-for-rent/residential/apartmentflat/2018/10/11/unfurnished-marina-view-high-floor-2/
"BRAND NEW 1BHK APT, CHILLER FREE WITH BIG BALCONY, NEAR TO METRO, DUBAI",Dubai Marina,Marina Diamond 2,65000,1 Bedrooms,2 Bathrooms,1000,https://dubai.dubizzle.com/property-for-rent/residential/apartmentflat/2018/10/10/brand-new-1bhk-apt-chiller-free-with-big-b-2/
BRAND NEW BUILDING  LARGE 1 BED APT CHILLER FREE 65K 4 CHEQS,Dubai Marina,Al Zarooni,65000,1 Bedrooms,2 Bathrooms,850,https://dubai.dubizzle.com/property-for-rent/residential/apartmentflat/2018/10/10/brand-new-building-large-1-bed-apt-chiller-2/
1 Bedroom I Fully Furnished I Marina Pinnacle Tower,Dubai Marina,Marina Pinnacle,65000,1 Bedrooms,2 Bathrooms,838,https://dubai.dubizzle.com/property-for-rent/residential/apartmentflat/2018/10/9/1-br-apartment-fully-furnished-marina-pinn-2/
Spacious I 1 BR I  Marina Crown,Dubai Marina,Marina Crown,65000,1 Bedrooms,2 Bathrooms,900,https://dubai.dubizzle.com/property-for-rent/residential/apartmentflat/2018/10/9/spacious-i-1-br-i-marina-crown-2/
LARGE 1 BED APT IN BRAND NEW BUILDING CHILLER FREE 65K 4 CHEQS,Dubai Marina,Al Zarooni,65000,1 Bedrooms,2 Bathrooms,850,https://dubai.dubizzle.com/property-for-rent/residential/apartmentflat/2018/10/9/large-1-bed-apt-in-brand-new-building-chil-2/
From Landlord 1 Bedroom Marina Pinnacle,Dubai Marina,Marina Pinnacle,65000,1 Bedrooms,2 Bathrooms,930,https://dubai.dubizzle.com/property-for-rent/residential/apartmentflat/2018/10/9/1-bedroom-marina-pinnacle-from-landlord--2/
BEST DEAL CHILLER FREE Spacious 1BR With Balcony | Lake View In Marina First,Dubai Marina,Marina First,65000,1 Bedrooms,2 Bathrooms,1000,https://dubai.dubizzle.com/property-for-rent/residential/apartmentflat/2018/10/8/best-deal-chiller-free-spacious-1br-with-b-2/
Stunning Marina View | Modern Design 1BR,Dubai Marina,Marina View Tower A,65000,1 Bedrooms,2 Bathrooms,540,https://dubai.dubizzle.com/property-for-rent/residential/apartmentflat/2018/10/7/stunning-marina-view-modern-design-1br-2/
Cosy 1bed in Pinnacle tower at 65k,Dubai Marina,Marina Pinnacle,65000,1 Bedrooms,2 Bathrooms,865,https://dubai.dubizzle.com/property-for-rent/residential/apartmentflat/2018/10/7/cosy-1bed-in-pinnacle-tower-at-65k-2/
"Huge appt, Cheap price , Chiller free !!",Dubai Marina,Sulafa Tower,65000,1 Bedrooms,2 Bathrooms,1000,https://dubai.dubizzle.com/property-for-rent/residential/apartmentflat/2018/10/4/huge-appt-cheap-price-chiller-free--2/
spacious 1 Bedroom near metro in chiller free building in 6 cheques,Dubai Marina,Marina Diamond 5,65000,1 Bedrooms,1 Bathrooms,707,https://dubai.dubizzle.com/property-for-rent/residential/apartmentflat/2018/10/4/amazing-views-1-bedroom-apartment-in-marin-2/
Beautiful 1 BR Unit| Sea View|Negotiable,Dubai Marina,Marina First,65000,,,,https://dubai.dubizzle.com/property-for-rent/residential/apartmentflat/2018/10/3/beautiful-1-bdrm-apartment-with-sea-view-2/
Huge 1 BR Unit with Sea View|Negotiable,Dubai Marina,Marina First,65000,,,,https://dubai.dubizzle.com/property-for-rent/residential/apartmentflat/2018/10/3/big-one-bedroom-apartment-with-sea-view-2/
Vacant and Spacious 1BR APT with Balcony,Dubai Marina,Sulafa Tower,65000,1 Bedrooms,2 Bathrooms,915,https://dubai.dubizzle.com/property-for-rent/residential/apartmentflat/2018/10/3/vacant-and-spacious-1br-apt-with-balcony-2/
Spacious 1 Bedroom Apartment for Rent in Marina Pearl Tower,Dubai Marina,Marina Pearl,65000,1 Bedrooms,2 Bathrooms,957,https://dubai.dubizzle.com/property-for-rent/residential/apartmentflat/2018/10/2/spacious-1-bedroom-apartment-for-rent-in-m-2/
Lovely 1 Bed Apt I Balcony I Partial Sea and JBR Views,Dubai Marina,Marina Wharf 1,65000,1 Bedrooms,1 Bathrooms,750,https://dubai.dubizzle.com/property-for-rent/residential/apartmentflat/2018/10/2/lovely-1-bed-apt-i-balcony-i-partial-sea-a-2/
